Title,Authors,Abstract,Published Year,Published Month,Journal,Volume,Issue,Pages,Accession Number,DOI,Ref,Covidence,Study,Notes,Tags
Botulinum toxin A in anti-GAD-positive stiff-limb syndrome.,"Anagnostou, Evangelos; Zambelis, Thomas",,2012,/,Muscle & nerve,46,3,457-8,,https://dx.doi.org/10.1002/mus.23416,22907242,607,Anagnostou 2012,,Treatment
Case records of the Massachusetts General Hospital. Case 27-2012. A 60-year-old woman with painful muscle spasms and hyperreflexia.,"Byrne, Thomas N; Isakoff, Steven Jay; Rincon, Sandra P; Gudewicz, Thomas M",,2012,/,The New England journal of medicine,367,9,851-61,,https://dx.doi.org/10.1056/NEJMcpc1114036,22931320,608,Byrne 2012,,
Antibodies against glutamic acid decarboxylase: prevalence in neurological diseases.,"Meinck, H M; Faber, L; Morgenthaler, N; Seissler, J; Maile, S; Butler, M; Solimena, M; DeCamilli, P; Scherbaum, W A","UNLABELLED: High prevalence of autoantibodies against glutamic acid decarboxylase (GAD-Ab) in stiff man syndrome (SMS) not only helps diagnosis, but also suggests immune mediated impairment of GABAergic functions. However, the presence of GAD-Ab has also been reported in other neurological syndromes. Therefore the prevalence of GAD-Ab was investigated in SMS, progressive encephalomyelitis with rigidity and myoclonus (PERM), and in other neurological diseases (OND). Serum antibodies against the GAD isoforms, GAD65 and GAD67, were investigated with radioimmunoassays in 13 patients with SMS, nine with PERM, 279 consecutive patients with OND, and in 100 normal controls., RESULTS: Prevalence of GAD65Ab was around 80% in patients with SMS/PERM compared with 5% in patients with OND and 1% in normal controls. Prevalence of GAD67Ab was 60% in SMS/PERM, 2% in patients with OND, and 1% in normal controls. Raised GAD-Ab clustered in an OND subgroup with sporadic progressive ataxia, but not in OND subgroups with recognised neuroimmunological diseases. In conclusion, increased GAD-Ab is neither a non-specific epiphenomenon of neuronal damage nor a common feature of recognised neuroimmunological disorders. In neurological diseases, GAD-Ab may be a pathogenetic agent or a marker for an ongoing autoimmune process, or both.",2001,/,"Journal of neurology, neurosurgery, and psychiatry",71,1,100-3,,,11413272,613,Meinck 2001,,Clinical manifestations; Immunological - Lab tests
Anti-GAD antibodies and breast cancer in a patient with stiff-person syndrome: a puzzling association.,"Sinnreich, M; Assal, F; Hefft, S; Magistris, M R; Chizzolini, C; Landis, T; Burkhard, P R",,2001,/,European neurology,46,1,51-2,,,11455186,615,Sinnreich 2001,,
Improvement of stiff-person syndrome with tiagabine.,"Murinson, B B; Rizzo, M",,2001,/,Neurology,57,2,366,,,11468338,616,Murinson 2001,,Review Article
Benefit of intravenous immunoglobulin in autoimmune stiff-person syndrome in a child.,"Mikaeloff, Y; Jambaque, I; Mayer, M; Ponsot, G; Kalifa, G; Carel, J C",,2001,/,The Journal of pediatrics,139,2,340,,,11487774,617,Mikaeloff 2001,,Treatment
"Stiff person syndrome: quantification, specificity, and intrathecal synthesis of GAD65 antibodies.","Dalakas, M C; Li, M; Fujii, M; Jacobowitz, D M","OBJECTIVE: To characterize the specificity of anti-GAD(65) antibodies in patients with stiff person syndrome (SPS), quantify antibody titers, and examine antibody production within the CNS., METHODS: The authors studied 18 patients with SPS and positive serum immunoreactivity to gamma-aminobutyric acid (GABA)-ergic neurons. The reactivity of serum and CSF to purified GAD antigen was examined by Western blots, and the anti-GAD(65) antibody titers in serum and CSF were quantified by ELISA and compared with 70 disease controls (49 with other autoimmune disorders and 11 with insulin-dependent diabetes mellitus). The intrathecal synthesis of anti-GAD(65) IgG was calculated, and the functional significance of the antibodies was examined by measuring the GABA levels in the CSF., RESULTS: The serum and CSF of all selected patients with SPS had high anti-GAD(65) titers (from 7.0 to 215 microg/mL in serum and from 92 to 2500 ng/mL in CSF) and immunoreacted strongly with recombinant GAD(65) on Western blots and with GABA-ergic neurons on rat cerebellum. Among controls, only the serum of eight patients with insulin-dependent diabetes mellitus had low anti-GAD(65) antibody titers (from 200 to 1760 ng/mL) but no reactivity to recombinant GAD(65). The CSF showed oligoclonal IgG bands in 10 (67%) of 15 patients and an increased anti-GAD(65)-specific IgG index in 11 (85%) of 13. The mean level of GABA in the CSF was lower in patients with SPS than in controls., CONCLUSIONS: In patients with SPS, there is marked intrathecal antibody response against neuronal GAD(65) epitopes, indicating a clonal B cell activation in the CNS. Anti-GAD(65) antibodies at high titers, when confirmed with immunoblots, are highly specific for SPS and appear to impair GABA synthesis.",2001,/,Neurology,57,5,780-4,,,11552003,620,Dalakas 2001,,Clinical manifestations; Immunological - Lab tests; Review Article
Stiff-person syndrome associated with cerebellar ataxia and high glutamic acid decarboxylase antibody titer.,"Kono, S; Miyajima, H; Sugimoto, M; Suzuki, Y; Takahashi, Y; Hishida, A","Glutamic acid decarboxylase (GAD) is the main target of humoral autoimmunity in patients with insulin-dependent diabetes mellitus (IDDM) and stiff-person syndrome. We reviewed the case of a 46-year-old woman who had cerebellar ataxia before getting stiff-person syndrome and IDDM with high anti-GAD autoantibody titers. This was a rare case in which there were both the clinical symptoms of stiff-person syndrome and cerebellar ataxia. In western blot analysis her serum reacted with 65-kDa proteins from rat cerebellum, cerebral cortex, and spinal cord. Autoantibodies to GAD may cause functional impairment of gamma-aminobutyric acid (GABA) neurons in the spinal cord as well as in the cerebellum.",2001,/,"Internal medicine (Tokyo, Japan)",40,9,968-71,,,11579968,621,Kono 2001,,
Stiff-person syndrome associated with invasive thymoma: a case report.,"Hagiwara, H; Enomoto-Nakatani, S; Sakai, K; Ugawa, Y; Kusunoki, S; Kanazawa, I","We report a case of a 40-year-old female with continuous muscle stiffness and painful muscle spasms. The symptoms worsened over a two-week period after onset. Electrophysiological examinations revealed continuous muscle discharge, which was markedly reduced by intravenous administration of diazepam. High levels of anti-glutamic acid decarboxylase (GAD) antibodies were detected in both serum and cerebrospinal fluid, suggesting that the patient suffered from stiff-person syndrome. Steroid pulse therapy and immunoadsorption therapy alleviated the clinical symptoms and decreased the anti-GAD antibody titer. A chest CT revealed the presence of an invasive thymoma. Neither anti-acetylcholine receptor (AChR) antibodies nor symptoms of myasthenia gravis (MG) were observed. The patient underwent a thymectomy and postoperative radiotherapy. These treatments further alleviated the clinical symptoms. The present case is the first that associates stiff-person syndrome with invasive thymoma, and not accompanied by MG. The autoimmune mechanism, in this case, may be triggered by the invasive thymoma.",2001,/,Journal of the neurological sciences,193,1,59-62,,,11718752,623,Hagiwara 2001,,
Stiff leg syndrome: case report.,"Gurol, M E; Ertas, M; Hanagasi, H A; Sahin, H A; Gursoy, G; Emre, M","We report on a 28-year-old woman with insulin-resistant diabetes mellitus with a 5-year history of progressive stiffness and painful spasms of the right leg, exaggerated by sudden auditory and tactile stimuli or by emotional stress. There were no signs of truncal rigidity or exaggerated lumbar lordosis. Anti-glutamic acid decarboxylase antibodies were positive in her serum. She improved substantially with clonazepam 4 mg/day. She presented with electrophysiological findings not previously reported in stiff leg syndrome, which may suggest increased inhibition in the uninvolved upper extremities. Copyright 2001 Movement Disorder Society.",2001,/,Movement disorders : official journal of the Movement Disorder Society,16,6,1189-93,,,11748762,624,Gurol 2001,,
High-dose intravenous immune globulin for stiff-person syndrome.,"Dalakas, M C; Fujii, M; Li, M; Lutfi, B; Kyhos, J; McElroy, B","BACKGROUND: Stiff-person syndrome is a disabling central nervous system disorder with no satisfactory treatment that is characterized by muscle rigidity, episodic muscle spasms, high titers of antibodies against glutamic acid decarboxylase (GAD65), and a frequent association with autoimmune disorders. Because stiff-person syndrome is most likely immune-mediated, we evaluated the efficacy of intravenous immune globulin., METHODS: We assigned 16 patients who had stiff-person syndrome and anti-GAD65 antibodies, in random order, to receive intravenous immune globulin or placebo for three months, followed by a one-month washout period and then by three months of therapy with the alternative agent. Efficacy was judged by improvements in scores on the distribution-of-stiffness index and heightened-sensitivity scale from base line (month 1) to the second and third month of each treatment phase. Direct and carryover effects of treatment were compared in the two groups., RESULTS: Among patients who received immune globulin first, stiffness scores decreased significantly (P=0.02) and heightened-sensitivity scores decreased substantially during immune globulin therapy but rebounded during placebo administration. In contrast, the scores in the group that received placebo first remained constant during placebo administration but dropped significantly during immune globulin therapy (P=0.01). When the data were analyzed for a direct and a first-order carryover effect, there was a significant difference in stiffness scores (P=0.01 and P<0.001, respectively) between the immune globulin and placebo groups, and immune globulin therapy had a significant direct treatment effect on sensitivity scores (P=0.03). Eleven patients who received immune globulin became able to walk more easily or without assistance, their frequency of falls decreased, and they were able to perform work-related or household tasks. The duration of the beneficial effects of immune globulin varied from six weeks to one year. Anti-GAD65 antibody titers declined after immune globulin therapy but not after placebo administration., CONCLUSIONS: Intravenous immune globulin is a well-tolerated and effective, albeit costly, therapy for patients with stiff-person syndrome and anti-GAD65 antibodies.",2001,/,The New England journal of medicine,345,26,1870-6,,,11756577,625,Dalakas 2001,,Treatment
Paraneoplastic stiff-person syndrome: no tumor progression over 5 years.,"Schmierer, K; Grosse, P; De Camilli, P; Solimena, M; Floyd, S; Zschenderlein, R",,2002,/,Neurology,58,1,148,,,11781426,626,Schmierer 2002,,Review Article
Anaesthesia for Stiff-Person Syndrome.,"Haslam, N; Price, K",,2002,/,Anaesthesia,57,3,298-9,,,11892649,629,Haslam 2002,,
Stiff person syndrome and myasthenia gravis.,"Saravanan, P K; Paul, J; Sayeed, Zaheer Ahmed","Association of stiff person syndrome, an immune related disorder of anterior horn cells and myasthenia gravis an endplate disorder with similar pathogenesis, is rare. This communication documents this association in the Indian literature for the first time.",2002,/,Neurology India,50,1,98-100,,,11960163,633,Saravanan 2002,,
Anaesthetic management of a patient with Stiff-person syndrome.,"Obara, M; Sawamura, S; Chinzei, M; Komatsu, K; Hanaoka, K",,2002,/,Anaesthesia,57,5,511,,,11966568,634,Obara 2002,,
Progressive encephalomyelitis with rigidity presenting as a stiff-person syndrome.,"Gouider-Khouja, Neziha; Mekaouar, Aouatef; Larnaout, Abdelmajid; Miladi, Najoua; Ben Khelifa, Fethi; Hentati, Faycal","Diagnosis criteria of stiff-person syndrome (SPS) include progressive, fluctuating muscular rigidity and spasms with normal neurological examination. The presence of unusual features such as prominent limb rigidity with segmental signs and contracture, evidence of brainstem dysfunction, profound autonomic disturbances, CSF pleiocytosis or MRI abnormalities in patients with SPS presentation allows to classify these patients as progressive encephalomyelitis with rigidity (PER). We report a 50 year-old woman suffering from severe painful spasms of abdominal wall and limb muscles. Neurological examination showed pyramidal signs. EMG disclosed continuous muscle activity with superimposed discharges. Treatment with high doses of diazepam and baclofen led to moderate improvement of generalised stiffness. However, the right arm became more rigid with oedema and vasomotor changes. Subsequently, bilateral nystagmus and internuclear opthalmplegia appeared. There was mild CSF pleiocytosis. Associated auto-immune thyroiditis was found with positive anti-microsome antibodies and decreased thyroid hormones. Search for profound neoplasm was negative. The patient had three subacute bouts then she improved with methylprednisolone. The initial clinical presentation mimicking a SPS with subsequent diffuse involvement of the central nervous system and a striking localisation of a severe rigidity to one arm allowed to suspect the diagnosis of PER. The relationship between SPS and PER remains unclear because of the rarity of these disorders. The observation reported in this paper gives evidence that both the disorders are probably two clinical presentations of the same pathogenic process.",2002,/,Parkinsonism & related disorders,8,4,285-8,,,12039424,637,Gouider-Khouja 2002,,
Stiff-man syndrome: a case report and review of the literature.,"Kiriakos, Carol R; Franco, Kathleen N",,2002,/,Psychosomatics,43,3,243-4,,,12075042,639,Kiriakos 2002,,
Pathological evidence of encephalomyelitis in the stiff man syndrome with anti-GAD antibodies.,"Warren, Jason D; Scott, Grace; Blumbergs, Peter C; Thompson, Philip D","We report the case of a 57 year old woman with typical clinical features of the stiff man syndrome (SMS) and antibodies to glutamic acid decarboxylase (antiGADAb), who developed a supranuclear gaze palsy, ileus and died of bronchopneumonia eight years after the onset of illness. Post mortem examination revealed perivascular lymphocyte cuffing throughout the cerebral hemispheres, brainstem and spinal cord and neuronal loss in medial anterior horns of the cervical spinal cord. These findings support the notion that the SMS and progressive encephalomyelitis with rigidity (PER) form a clinical and pathologic continuum. Copyright 2002 Published by Elsevier Science Ltd.",2002,/,Journal of clinical neuroscience : official journal of the Neurosurgical Society of Australasia,9,3,328-9,,,12093149,640,Warren 2002,,
Effect of treatment with intravenous immunoglobulin on quality of life in patients with stiff-person syndrome.,"Gerschlager, Willibald; Brown, Peter","The therapeutic effects of intravenous immunoglobulin (IVIG) on the stiff-person syndrome (SPS) have been described exclusively in case reports or open-label studies in terms of clinical outcomes. We investigate whether IVIG improves quality of life (QoL) in the SPS. Six patients with the classic form of SPS completed a generic QoL instrument, the SF-36, and a Visual Analogue Scale (VAS) before treatment as well as 2 weeks after completion of a course of IVIG. There was significant improvement in the SF-36 subscores for pain, social functioning, general mental health, and energy-vitality with treatment. The VAS also improved significantly. We conclude that treatment with IVIG improves QoL in the SPS. Copyright 2002 Movement Disorder Society.",2002,/,Movement disorders : official journal of the Movement Disorder Society,17,3,590-3,,,12112212,641,Gerschlager 2002,,Treatment
Increased brainstem excitability in stiff-person syndrome.,"Molloy, F M; Dalakas, M C; Floeter, Mary Kay",The recovery cycle of the R2 component of the blink reflex was studied in five patients with stiff-person syndrome (SPS) and in seven healthy control subjects. R2 recovery was enhanced in patients with SPS. This result is suggestive of hyperexcitability of brainstem interneuronal circuits in SPS. Hyperexcitability may result from abnormal input from suprasegmental structures or loss of inhibition by interneurons and is compatible with the proposal that there is a widespread dysfunction of central inhibitory mechanisms in SPS.,2002,/,Neurology,59,3,449-51,,,12177385,642,Molloy 2002,,Electrophysiology
Acute attacks and brain stem signs in a patient with glutamic acid decarboxylase autoantibodies.,"Matsumoto, S; Kusuhara, T; Nakajima, M; Ouma, S; Takahashi, M; Yamada, T",,2002,/,"Journal of neurology, neurosurgery, and psychiatry",73,3,345-6,,,12185181,643,Matsumoto 2002,,Clinical manifestations
Stiff-man syndrome: identification of 17 beta-hydroxysteroid dehydrogenase type 4 as a novel 80-kDa antineuronal antigen.,"Dinkel, Klaus; Rickert, Mathias; Moller, Gabriele; Adamski, Jerzy; Meinck, Hans-Michael; Richter, Wiltrud","Stiff-man syndrome (SMS) is a rare autoimmune disorder of the central nervous system associated with autoantibodies to glutamate decarboxylase (GAD). We isolated five brain-reactive human monoclonal antibodies, with reactivity distinct from GAD, from peripheral blood of a patient newly diagnosed with SMS. Two antibodies reacted with both Purkinje cells and ependymal cells, and precipitated an 80-kDa protein from rat neuronal primary cultures, which was also recognized by 12% (3/25) of SMS sera and 13% (2/15) of SMS cerebrospinal fluid (CSF) samples. The corresponding antigen was identified as 17 beta-hydroxysteroid dehydrogenase type 4 and may represent a possible novel target of autoimmunity in SMS.",2002,/,Journal of neuroimmunology,130,01-Feb,184-93,,,12225901,646,Dinkel 2002,,
Stiff man syndrome presenting with low back pain.,"Bastin, A; Gurmin, V; Mediwake, R; Gibbs, J; Beynon, H",,2002,/,Annals of the rheumatic diseases,61,10,939-40,,,12228170,647,Bastin 2002,,
Neurological disorders associated with glutamic acid decarboxylase antibodies: a Brazilian series.,"Fernandes, Mauricio; Munhoz, Renato P; Carrilho, Paulo Eduardo Mestrinelli; Arruda, Walter O; Lorenzoni, Paulo J; Scola, Rosana H; Werneck, Lineu Cesar; Teive, Helio A G","Neurological disorders associated with glutamic acid decarboxylase (GAD) antibodies are rare pleomorphic diseases of uncertain cause, of which stiff-person syndrome (SPS) is the best-known. Here, we described nine consecutive cases of neurological disorders associated with anti-GAD, including nine patients with SPS and three cases with cerebellar ataxia. Additionally, four had hypothyroidism, three epilepsy, two diabetes mellitus and two axial myoclonus.",2012,/,Arquivos de neuro-psiquiatria,70,9,657-61,,,22990719,648,Fernandes 2012,,
Lower extremity predominant stiff-person syndrome and limbic encephalitis with amphiphysin antibodies in breast cancer.,"Krishna, Vivek R; Knievel, Kerry; Ladha, Shafeeq; Sivakumar, Kumaraswamy","A 54-year-old woman presented with several weeks of psychiatric symptoms, partial-onset seizures, and painful spasms of the lower extremities. On examination, she exhibited severe stiffness and intermittent extensor spasms of the lower extremities. Magnetic resonance imaging of the brain showed T2 hyperintensity in the left temporal lobe with enhancement after gadolinium administration on T1-weighted images. Amphiphysin antibodies were present in the serum. Radiographic screening for malignancy disclosed a metastatic breast cancer. The case is a unique example of amphiphysin autoimmunity, illustrating the possibility of paraneoplastic stiff-person syndrome and limbic encephalitis coexisting in a patient with a ""classical"" presentation of stiff-person syndrome confined to the lower extremities.",2012,/,Journal of clinical neuromuscular disease,14,2,72-4,,https://dx.doi.org/10.1097/CND.0b013e31826f0d99,23172386,650,Krishna 2012,Yasamin Mahjoub (2023-07-02 09:30:15)(Select): wrong full text - replaced; ,
Cannabis derivatives therapy for a seronegative stiff-person syndrome: a case report.,"Vicente-Valor, M I; Garcia-Llopis, P; Mejia Andujar, L; Antonino de la Camara, G; Garcia del Busto, N; Lopez Tinoco, M J; Quintana Vergara, B; Peiro Vilaplana, C; Dominguez Moran, J A; Sanchez Alcaraz, A","WHAT IS KNOWN AND OBJECTIVE: Stiff-person syndrome (SPS) is an uncommon and disabling disorder characterized by progressive rigidity and episodic painful spasms involving axial and limb musculature. SPS treatment is mostly based on benzodiazepines, baclofen, immunosuppressants and intravenous immunoglobulin. Cannabis derivatives [tetrahydrocannabinol (THC) and cannabidiol (CBD)] are available as an oromucosal spray (Sativex( R)), indicated as add-on treatment, for symptom improvement in patients with moderate to severe spasticity because of multiple sclerosis (MS). Our objective is to report a case of seronegative SPS successfully treated with THC-CBD oromucosal spray., CASE SUMMARY: We report a case of a 40-year-old man presenting with progressive muscle stiffness and intermittent spasms for 6-years. The diagnosis of stiff-person syndrome was based on the clinical features and neuroelectrophysiologic findings of continuous motor unit activity. Glutamic acid decarboxylase autoantibodies was absent in our patient, in both serum and cerebrospinal fluid (CSF). Cannabis derivatives oromucosal spray was introduced after a series of unsatisfactory traditional medical treatments. After 14 months treated with THC-CBD oromucosal spray, improvement was verified in the eight dimensions of the scale of SF-36 quality of life questionnaire., WHAT IS NEW AND CONCLUSION: Clinical experience with cannabis derivatives in patients with multiple sclerosis is accumulating steadily, but there is no current literature about its efficacy for SPS. Because MS and SPS share some neurological symptoms such as spasticity and rigidity, it is thought that THC-CBC can be an option for SPS patient. Our case report suggests that THC-CBD oromucosal spray is an alternative treatment for patients with refractory SPS, and further validation is appropriate. Copyright © 2012 Blackwell Publishing Ltd.",2013,/,Journal of clinical pharmacy and therapeutics,38,1,71-3,,https://dx.doi.org/10.1111/j.1365-2710.2012.01365.x,22726074,657,Vicente-Valor 2013,,
A case of childhood stiff-person syndrome with striatal lesions: a possible entity distinct from the classical adult form.,"Sanefuji, Masafumi; Torisu, Hiroyuki; Kira, Ryutaro; Yamashita, Hiroshi; Ejima, Kazuna; Shigeto, Hiroshi; Takada, Yui; Yoshida, Keiko; Hara, Toshiro","Parainfectious or autoimmune striatal lesions have been repeatedly described in children. We report a 7-year-old girl with painful muscle spasms, leading to the diagnosis of childhood stiff-person syndrome (SPS). Striatal lesions were demonstrated by diffusion-weighted magnetic resonance imaging (MRI) and single-photon emission computed tomography but not by conventional MRI. Autoantibodies against glutamic acid decarboxylase (GAD) were absent. Steroid pulse therapy and high-dose intravenous immunoglobulin resolved all the symptoms with slight sequelae. Childhood SPS may be characterized by absent anti-GAD antibodies and a transient benign clinical course, and it may have a pathomechanism distinct from that in adult SPS. Copyright © 2012 The Japanese Society of Child Neurology. Published by Elsevier B.V. All rights reserved.",2013,/,Brain & development,35,6,575-8,,https://dx.doi.org/10.1016/j.braindev.2012.08.003,22944247,658,Sanefuji 2013,,Clinical manifestations; Immunological - Lab tests
Glycine receptor autoimmune spectrum with stiff-man syndrome phenotype.,"McKeon, Andrew; Martinez-Hernandez, Eugenia; Lancaster, Eric; Matsumoto, Joseph Y; Harvey, Robert J; McEvoy, Kathleen M; Pittock, Sean J; Lennon, Vanda A; Dalmau, Josep","OBJECTIVES: To determine whether glycine receptor alpha1 subunit-specific autoantibodies (GlyRalpha1-IgG) occur in a broader spectrum of brainstem and spinal hyperexcitability disorders than the progressive encephalomyelitis with rigidity and myoclonus phenotype recognized to date, and to ascertain disease specificity., DESIGN: Retrospective, case-control study., SETTINGS: Mayo Clinic, Rochester, Minnesota, and University of Barcelona, Spain., PATIENTS: Eighty-one patients with stiff-man syndrome phenotype, 80 neurologic control subjects, and 20 healthy control subjects., INTERVENTION: Glycine receptor alpha1-transfected cells to test serum or cerebrospinal fluid from cases and control subjects., MAIN OUTCOME MEASURES: Frequency of GlyRalpha1-IgG positivity among stiff-man syndrome phenotype cases and control subjects. Comparison of GlyRalpha1-IgG seropositive and seronegative cases., RESULTS: Seropositive cases (12% of cases) included 9 with stiff-man syndrome (4 classic; 5 variant; 66% were glutamic acid decarboxylase 65-IgG positive) and 1 with progressive encephalomyelitis with rigidity and myoclonus. Immunotherapy responses were noted more frequently in GlyRalpha1-IgG-positive cases (6 of 7 improved) than in seronegative cases (7 of 25 improved; P= .02). The single seropositive control patient had steroid-responsive vision loss and optic atrophy with inflammatory cerebrospinal fluid., CONCLUSIONS: Glycine receptor alpha1-IgG aids identification of autoimmune brainstem/spinal cord hyperexcitability disorders and may extend to the glycinergic visual system.",2013,/,JAMA neurology,70,1,44-50,,https://dx.doi.org/10.1001/jamaneurol.2013.574,23090334,659,McKeon 2013,,Clinical manifestations; Review Article
A 14-year-old girl with hyperekplexia having GLRB mutations.,"Mine, Jun; Taketani, Takeshi; Otsubo, Shusuke; Kishi, Kazuko; Yamaguchi, Seiji","Hyperekplexia manifests as generalized stiffness and an excessive startle reflex to stimuli. It starts in the neonatal period and is transmitted in many cases via autosomal dominant inheritance. The etiology is an abnormality of the glycinergic neurotransmission system that is involved in inhibitory neurotransmission. Aberrations of five genes related to this neurotransmission system have been identified. The patient was a 14-year-old girl with mild mental retardation. None of her family members had a neuromuscular disease. An excessive startle reflex and generalized stiffness were noted immediately after birth and she was diagnosed with epilepsy because epileptic discharges were observed. However, the disease was resistant to various antiepileptic drugs and the startle responses persisted. GLRB gene mutations (R50X/Q216fsx222) were identified, after which the patient was diagnosed with hyperekplexia. The startle reflex improved when clonazepam treatment was initiated. When patients have a persistent startle reflex, it is necessary to consider hyperekplexia, even if epileptic discharges are observed. Only four cases with GLRB mutations, including the present patient, have been reported. To make a definite diagnosis of hyperekplexia, it may be useful to screen for genes that are involved in the glycinergic neurotransmission system. Copyright © 2012 The Japanese Society of Child Neurology. Published by Elsevier B.V. All rights reserved.",2013,/,Brain & development,35,7,660-3,,https://dx.doi.org/10.1016/j.braindev.2012.10.013,23182654,661,Mine 2013,,Differential Diagnosis
Treatment of stiff-person syndrome with chronic plasmapheresis.,"De la Casa-Fages, Beatriz; Anaya, Fernando; Gabriel-Ortemberg, Martin; Grandas, Francisco",,2013,/,Movement disorders : official journal of the Movement Disorder Society,28,3,396-7,,https://dx.doi.org/10.1002/mds.25167,23239368,663,DelaCasa-Fages 2013,,Treatment
"GlyRalpha1, GAD65, amphiphysin, and gephyrin autoantibodies: leading or supporting roles in stiff-person disorders?.","Pleasure, David",,2013,/,JAMA neurology,70,1,16-Jul,,https://dx.doi.org/10.1001/2013.jamaneurol.455,23318510,666,Pleasure 2013,Karlo Lizarraga (2023-07-01 11:28:55)(Select): Editorial; ,
Characteristics of in-vitro phenotypes of glutamic acid decarboxylase 65 autoantibodies in high-titre individuals.,"Cheramy, M; Hampe, C S; Ludvigsson, J; Casas, R","Previous studies have indicated phenotypical differences in glutamic acid decarboxylase 65 autoantibodies (GADA) found in type 1 diabetes (T1D) patients, individuals at risk of developing T1D and stiff-person syndrome (SPS) patients. In a Phase II trial using aluminium-formulated GAD(65) (GAD-alum) as an immunomodulator in T1D, several patients responded with high GADA titres after treatment, raising concerns as to whether GAD-alum could induce GADA with SPS-associated phenotypes. This study aimed to analyse GADA levels, immunoglobulin (Ig)G1-4 subclass frequencies, b78- and b96.11-defined epitope distribution and GAD(65) enzyme activity in sera from four cohorts with very high GADA titres: T1D patients (n = 7), GAD-alum-treated T1D patients (n = 9), T1D high-risk individuals (n = 6) and SPS patients (n = 12). SPS patients showed significantly higher GADA levels and inhibited the in-vitro GAD(65) enzyme activity more strongly compared to the other groups. A higher binding frequency to the b78-defined epitope was found in the SPS group compared to T1D and GAD-alum individuals, whereas no differences were detected for the b96.11-defined epitope. GADA IgG1-4 subclass levels did not differ between the groups, but SPS patients had higher IgG2 and lower IgG4 distribution more frequently. In conclusion, the in-vitro GADA phenotypes from SPS patients differed from the T1D- and high-risk groups, and GAD-alum treatment did not induce SPS-associated phenotypes. However, occasional overlap between the groups exists, and caution is indicated when drawing conclusions to health or disease status. Copyright © 2012 British Society for Immunology.",2013,/,Clinical and experimental immunology,171,3,247-54,,https://dx.doi.org/10.1111/cei.12026,23379430,667,Cheramy 2013,,
Progressive encephalomyelitis with rigidity and myoclonus: a syndrome with diverse clinical features and antibody responses.,"Shugaiv, Erkingul; Leite, Maria Isabel; Sehitoglu, Elcin; Woodhall, Mark; Cavus, Filiz; Waters, Patrick; Icoz, Sema; Birisik, Omer; Ugurel, Elif; Ulusoy, Canan; Kurtuncu, Murat; Vural, Burcak; Vincent, Angela; Akman-Demir, Gulsen; Tuzun, Erdem","BACKGROUND/AIMS: To better characterize progressive encephalomyelitis with rigidity and myoclonus (PERM) syndrome and identify novel PERM phenotypes., METHODS: The clinical features and antibody status of PERM patients were investigated using immunoblots, cell-based assays, RIA, protein macroarray and ELISA., RESULTS: Two patients with supratentorial involvement showed abnormal PET or EEG findings. One patient was discovered to have renal cell carcinoma, and protein macroarray revealed Ma3-antibodies. Another patient with leucine-rich, glioma-inactivated 1 (LGI1) and glutamic acid decarboxylase (GAD) antibodies showed a good response to immunotherapy., CONCLUSION: The heterogeneity of the immunological features suggests that PERM is caused by diverse pathogenic mechanisms. Seropositivity to well-characterized neuronal cell surface antigens might indicate a good treatment response. Copyright © 2013 S. Karger AG, Basel.",2013,/,European neurology,69,5,257-62,,https://dx.doi.org/10.1159/000342237,23429048,668,Shugaiv 2013,,
Stiff man syndrome with invasive thymic carcinoma.,"Aghajanzadeh, Manouchehr; Alavi, Ali; Aghajanzadeh, Gilda; Massahania, Sara",Stiff man syndrome is a rare disease characterized by painful chronic spasms in the muscle and skeletal system. This syndrome is an autoimmune neurologic disorder which is associated with thymoma. We treated a 32-year-old male patient with a type C thymoma (based on the World Health Organization classification) who had stiff man syndrome. The patient underwent an extended thymectomy which brought about alleviation of his symptoms.,2013,/,Archives of Iranian medicine,16,3,195-6,,https://dx.doi.org/013163/AIM.0016,23432176,669,Aghajanzadeh 2013,,
Teaching NeuroImages: PET-CT hypermetabolism paralleling muscle hyperactivity in stiff-person syndrome.,"O'Toole, Orna; Murphy, Robert; Tracy, Jennifer A; McKeon, Andrew",,2013,/,Neurology,80,10,e109,,https://dx.doi.org/10.1212/WNL.0b013e3182840bad,23460625,670,O'Toole 2013,,Awaiting classification
