issue_id,paper_id,covidence_id,title,authors,published_year,journal,stage,issue_type,severity,status,source_registry,source_field,revisit_reason,recommended_action,blocking_downstream,detected_at_utc
919|07_case_series_split|case_series_split_manual_review_required|case_series_split_registry.csv,919,919,Clinical and Immunologic Investigations in Patients With Stiff-Person Spectrum Disorder.,"Martinez-Hernandez, Eugenia; Arino, Helena; McKeon, Andrew; Iizuka, Takahiro; Titulaer, Maarten J; Simabukuro, Mateus M; Lancaster, Eric; Petit-Pedrol, Mar; Planaguma, Jesus; Blanco, Yolanda; Harvey, Robert J; Saiz, Albert; Graus, Francesc; Dalmau, Josep",2016,JAMA neurology,07_case_series_split,case_series_split_manual_review_required,medium,manual_review_required,case_series_split_registry.csv,split_status,Could not find at least two distinct explicit case/patient headings.,Review case boundaries manually or mark the paper unsuitable for case-level splitting.,true,2026-05-07T11:48:48.539870+00:00
929|06_sps_case_count|case_count_manual_review_required|source_sps_case_count_registry.csv,929,929,Utility of ultrasonography in evaluating muscle contractions in stiff-person syndrome.,"Hoshino, Yasunobu; Nishioka, Kenya; Kanai, Kauzuaki; Tanaka, Ryota; Nagaoka, Masanori; Kuwabara, Satoshi; Hattori, Nobutaka",2016,Journal of the neurological sciences,06_sps_case_count,case_count_manual_review_required,medium,llm_candidate_exact,source_sps_case_count_registry.csv,count_manual_review_required,"challenge_stage=primary | verification_status=llm_candidate_exact | llm_count_confidence=medium | llm_selected_candidate_id=cand01 | The full text explicitly reports a single patient with clinically and electrophysiologically supported SPS: 'we observed ... in a patient with SPS' and the case report details one 27-year-old woman diagnosed with SPS. Although the paper notes some measures were 'previously described [4],' that appears to refer to methods rather than indicating multiple cases; however provenance uncertainty remains, so manual review is still warranted.","Review the count evidence, update the count manual-review ledger or gold corpus, and rerun the stage-06 publish step.",true,2026-04-19T09:30:07.869652+00:00
938|06_sps_case_count|case_count_manual_review_required|source_sps_case_count_registry.csv,938,938,Retinal pathology occurs in stiff-person syndrome.,"Lambe, Jeffrey; Rothman, Alissa; Prince, Jerry; Saidha, Shiv; Calabresi, Peter A; Newsome, Scott D",2020,Neurology,06_sps_case_count,case_count_manual_review_required,medium,llm_candidate_exact,source_sps_case_count_registry.csv,count_manual_review_required,"challenge_stage=challenge | verification_status=llm_candidate_exact | llm_count_confidence=medium | challenge_reasons=local_validation_conflict=0 vs 35 | llm_selected_candidate_id=cand01 | The paper explicitly reports a cohort of 35 patients with stiff-person syndrome who underwent OCT, with a smaller subset of 23 undergoing visual acuity testing. This supports counting 35 unique SPS-spectrum patients, but manual review remains appropriate because original cohort provenance is flagged as uncertain upstream.","Review the count evidence, update the count manual-review ledger or gold corpus, and rerun the stage-06 publish step.",true,2026-04-19T09:31:24.747298+00:00
951|06_sps_case_count|case_count_manual_review_required|source_sps_case_count_registry.csv,951,951,Dyspnea in Patients with Stiff-Person Syndrome.,"Sexauer, William; Woodford, Matthew; Pack, Katrina; Allen, Anthony; Crawford, Albert; Rakocevic, Goran",2019,The American journal of the medical sciences,06_sps_case_count,case_count_manual_review_required,medium,llm_candidate_exact,source_sps_case_count_registry.csv,count_manual_review_required,"challenge_stage=primary | verification_status=llm_candidate_exact | llm_count_confidence=medium | llm_selected_candidate_id=cand01 | The paper explicitly reports a prospective SPS cohort of 17 recruited patients, and the methods text further supports that these were diagnosis-confirmed SPS subjects. Although there is a provenance uncertainty signal upstream, no clearer alternative SPS-spectrum count is supported than 17.","Review the count evidence, update the count manual-review ledger or gold corpus, and rerun the stage-06 publish step.",true,2026-04-19T09:32:58.117190+00:00
966|06_sps_case_count|case_count_manual_review_required|source_sps_case_count_registry.csv,966,966,Stiff person spectrum disorders: An illustrative case series of their phenotypic and antibody diversity.,"Bernardo, Francisco; Rebordao, Leonor; Rego, Andre; Machado, Sara; Passos, Joao; Costa, Cristina; Cruz, Simao; Pinto, Amelia Nogueira; Santos, Mariana",2020,Journal of neuroimmunology,06_sps_case_count,case_count_manual_review_required,medium,llm_candidate_exact,source_sps_case_count_registry.csv,count_manual_review_required,"challenge_stage=primary | verification_status=llm_candidate_exact | llm_count_confidence=high | llm_selected_candidate_id=cand01 | The paper explicitly describes an original case series of 3 SPS-spectrum disorder patients, with the body text stating that 3 patients were included and the abstract enumerating three SPSD phenotypes. Because the evidence pack flags original cohort provenance uncertainty, the count is best taken as 3 but should still receive manual review.","Review the count evidence, update the count manual-review ledger or gold corpus, and rerun the stage-06 publish step.",true,2026-04-19T09:36:02.146263+00:00
967|06_sps_case_count|case_count_manual_review_required|source_sps_case_count_registry.csv,967,967,Clinical Heterogeneity in Patients with Glutamate Decarboxylase Antibody.,"Huang, Jiehong; Li, Huilu; Zhou, Ruisi; Huang, Wenyao; Lin, Wenhui; Chen, Ting; Long, Youming",2019,Neuroimmunomodulation,06_sps_case_count,case_count_manual_review_required,medium,llm_candidate_exact,source_sps_case_count_registry.csv,count_manual_review_required,"challenge_stage=challenge | verification_status=llm_candidate_exact | llm_count_confidence=medium | challenge_reasons=local_validation_conflict=5 vs 1 | llm_selected_candidate_id=cand02 | The paper reports a mixed cohort of 5 anti-GAD-positive neurological patients with heterogeneous manifestations, not 5 confirmed SPS-spectrum cases. The only explicitly diagnosis-specific SPS-spectrum patient identified in the provided evidence is Patient 2 with SPS, so the safest supported extractable count is 1.","Review the count evidence, update the count manual-review ledger or gold corpus, and rerun the stage-06 publish step.",true,2026-04-19T09:36:29.206710+00:00
968|06_sps_case_count|case_count_manual_review_required|source_sps_case_count_registry.csv,968,968,A Case of Treatment Resistance and Complications in a Patient with Stiff Person Syndrome and Cerebellar Ataxia.,"Jones, Lliwen A; Baber, Waqaar; Wardle, Mark; Robertson, Neil P; Morris, Huw R; Church, Alistair; Llewelyn, John G; Peall, Kathryn J",2019,"Tremor and other hyperkinetic movements (New York, N.Y.)",06_sps_case_count,case_count_manual_review_required,medium,llm_candidate_exact,source_sps_case_count_registry.csv,count_manual_review_required,"challenge_stage=challenge | verification_status=llm_candidate_exact | llm_count_confidence=medium | challenge_reasons=semantic_validator_reject=COUNT_SPS_STATUS_UNCERTAIN | llm_selected_candidate_id=cand01 | This is a single-patient case report describing one woman with an explicit SPS diagnosis and cerebellar ataxia. The paper repeatedly refers to 'a case' and 'the patient,' supporting a count of 1 unique original SPS-spectrum patient, but because of the validator's SPS-status uncertainty flag, manual review should remain required.","Review the count evidence, update the count manual-review ledger or gold corpus, and rerun the stage-06 publish step.",true,2026-04-19T09:36:54.462347+00:00
970|06_sps_case_count|case_count_manual_review_required|source_sps_case_count_registry.csv,970,970,Stiff Person Syndrome and Type 1 Diabetes Mellitus: a Case of the Chicken or the Egg?.,"Rathbun, John Tyler; Imber, Jacob",2019,Journal of general internal medicine,06_sps_case_count,case_count_manual_review_required,medium,llm_candidate_exact,source_sps_case_count_registry.csv,count_manual_review_required,"challenge_stage=primary | verification_status=llm_candidate_exact | llm_count_confidence=medium | llm_selected_candidate_id=cand01 | The paper explicitly presents a single original case: a 23-year-old woman with known SPS. This supports a count of 1 SPS-spectrum patient, but manual review remains appropriate because the evidence pack flags original cohort provenance uncertainty.","Review the count evidence, update the count manual-review ledger or gold corpus, and rerun the stage-06 publish step.",true,2026-04-19T09:37:15.033303+00:00
972|06_sps_case_count|case_count_manual_review_required|source_sps_case_count_registry.csv,972,972,Severe breathlessness in Stiff person syndrome (SPS). Looking under the bonnet.,"Crescimanno, Grazia; Algeri, Margherita; Canino, Maria; Romano, Marcello; Cosentino, Giuseppe; Marrone, Oreste",2020,Journal of the neurological sciences,06_sps_case_count,case_count_manual_review_required,medium,llm_candidate_exact,source_sps_case_count_registry.csv,count_manual_review_required,"challenge_stage=primary | verification_status=llm_candidate_exact | llm_count_confidence=medium | llm_selected_candidate_id=cand01 | The paper explicitly reports observations in a single 55-year-old woman with SPS, so the best-supported extractable count is 1. However, the text also states that the detailed clinical history was previously reported, making original-cohort provenance uncertain and requiring manual review.","Review the count evidence, update the count manual-review ledger or gold corpus, and rerun the stage-06 publish step.",true,2026-04-19T09:37:35.698580+00:00
973|06_sps_case_count|case_count_manual_review_required|source_sps_case_count_registry.csv,973,973,Clinical characteristics of GAD 65-associated autoimmune encephalitis.,"Zhu, Fei; Shan, Wei; Lv, Ruijuan; Li, Zhimei; Wang, Qun",2020,Acta neurologica Scandinavica,06_sps_case_count,case_count_manual_review_required,medium,llm_candidate_exact,source_sps_case_count_registry.csv,count_manual_review_required,"challenge_stage=primary | verification_status=llm_candidate_exact | llm_count_confidence=medium | llm_selected_candidate_id=cand01 | The paper reports a 7-patient GAD65 autoimmune encephalitis cohort, but only an explicit 3-patient stiff-person syndrome subgroup is directly identifiable from the provided text. Because SPS-spectrum membership is only explicit for those 3 patients and provenance is flagged as uncertain ('as previously reported'), the safest extractable SPS-spectrum count is the candidate 3, with manual review retained.","Review the count evidence, update the count manual-review ledger or gold corpus, and rerun the stage-06 publish step.",true,2026-04-19T09:38:05.384244+00:00
974|06_sps_case_count|case_count_manual_review_required|source_sps_case_count_registry.csv,974,974,Clinical features and immunotherapy outcomes of anti-glutamic acid decarboxylase 65 antibody-associated neurological disorders.,"Chengyu, Li; Weixiong, Shi; Chao, Chen; Songyan, Liu; Lin, Sang; Zhong, Zheng; Hua, Pan; Fan, Jian; Na, Chen; Tao, Cui; Jianwei, Wu; Haitao, Ren; Hongzhi, Guan; Xiaoqiu, Shao",2020,Journal of neuroimmunology,06_sps_case_count,case_count_manual_review_required,medium,llm_candidate_exact,source_sps_case_count_registry.csv,count_manual_review_required,"challenge_stage=challenge | verification_status=llm_candidate_exact | llm_count_confidence=medium | challenge_reasons=local_validation_conflict=7 vs 3 | llm_selected_candidate_id=cand01 | The paper reports a mixed cohort of seven anti-GAD65 neurological disorder patients, not seven SPS-spectrum patients. The evidence pack explicitly states that three patients had typical symptoms of stiff-person syndrome, which is the clearest extractable SPS-spectrum subgroup count available from the provided text.","Review the count evidence, update the count manual-review ledger or gold corpus, and rerun the stage-06 publish step.",true,2026-04-19T09:38:30.411874+00:00
974|07_case_series_split|case_series_split_manual_review_required|case_series_split_registry.csv,974,974,Clinical features and immunotherapy outcomes of anti-glutamic acid decarboxylase 65 antibody-associated neurological disorders.,"Chengyu, Li; Weixiong, Shi; Chao, Chen; Songyan, Liu; Lin, Sang; Zhong, Zheng; Hua, Pan; Fan, Jian; Na, Chen; Tao, Cui; Jianwei, Wu; Haitao, Ren; Hongzhi, Guan; Xiaoqiu, Shao",2020,Journal of neuroimmunology,07_case_series_split,case_series_split_manual_review_required,medium,manual_review_required,case_series_split_registry.csv,split_status,Could not find at least two distinct explicit case/patient headings.,Review case boundaries manually or mark the paper unsuitable for case-level splitting.,true,2026-05-07T11:48:48.539896+00:00
980|04_source_categorisation|source_category_manual_review_required|paper_artifact_registry.csv,980,980,An unusual cause of older adult falls: Stiff Leg Syndrome,Michaud M.; Gaudin C.; Brechemier D.; Cintas P.; Gauchet C.; Moulis G.; Vellas B.; Balardy L.,2013,European Geriatric Medicine,04_source_categorisation,source_category_manual_review_required,medium,review_source_category_then_langextract,paper_artifact_registry.csv,source_manual_review_required,"validator_flags=EVIDENCE_NO_PAGES | The available metadata and extracted text indicate this is likely a conference abstract (proceedings detected, 1 page), but there is no content to confirm the presence or absence of original SPS-spectrum patient data. Manual review is required.",Review source category/routing and update the source categorisation manual-review ledger.,true,2026-04-06T00:37:53.926967+00:00
980|05_proceedings_trim|trim_manual_review_required|text_trim_registry.csv,980,980,An unusual cause of older adult falls: Stiff Leg Syndrome,Michaud M.; Gaudin C.; Brechemier D.; Cintas P.; Gauchet C.; Moulis G.; Vellas B.; Balardy L.,2013,European Geriatric Medicine,05_proceedings_trim,trim_manual_review_required,high,header_only_source,text_trim_registry.csv,trim_status,Matched entry appears to contain header-only listing without abstract body.,Revisit proceedings localisation and publish a safe proceedings-ready text layer.,true,2026-05-07T11:48:48.495940+00:00
980|05b_proceedings_qc|proceedings_qc_follow_up_required|proceedings_text_qc_registry.csv,980,980,An unusual cause of older adult falls: Stiff Leg Syndrome,Michaud M.; Gaudin C.; Brechemier D.; Cintas P.; Gauchet C.; Moulis G.; Vellas B.; Balardy L.,2013,European Geriatric Medicine,05b_proceedings_qc,proceedings_qc_follow_up_required,high,partial_truncated,proceedings_text_qc_registry.csv,qc_status,Trim does not start at a detected proceedings header.,"Review proceedings QC, fix the target span if needed, and rerun proceedings-ready publication.",true,2026-04-06T13:59:01.451356+00:00
1001|05_proceedings_trim|proceedings_manual_review_queue|proceedings_manual_review_queue.csv,1001,1001,Inpatient physiotherapy management for Stiff Person syndrome,Kahraman T.; Balci B.; Sengun I.S.,2014,Journal of Neurology,05_proceedings_trim,proceedings_manual_review_queue,medium,queued,proceedings_manual_review_queue.csv,manual_status,"Proceedings detected, but the best abstract block match is below the auto-trim confidence threshold.","Review target abstract boundaries, record the manual decision, and rerun proceedings-ready publication.",true,2026-05-07T11:48:48.490269+00:00
1001|06_sps_case_count|reference_heuristic_count_needs_review|source_sps_case_count_registry.csv,1001,1001,Inpatient physiotherapy management for Stiff Person syndrome,Kahraman T.; Balci B.; Sengun I.S.,2014,Journal of Neurology,06_sps_case_count,reference_heuristic_count_needs_review,medium,reference_heuristic_manual_review_required,source_sps_case_count_registry.csv,count_manual_review_required,reference_only_publish_fallback=true | count_basis=case_report_marker_single_case | count_confidence=medium | candidate_notes=preferred_text_source=trimmed; body_only_candidate_added; single_case_default_candidate_added; distinct_candidate_counts=[1]; count_eligibility_status=extractable,"Review the source or restore run artefacts, then replace the reference-only fallback with reviewed evidence.",true,2026-04-26T22:28:09.696514+00:00
1011|07_case_series_split|case_series_split_manual_review_required|case_series_split_registry.csv,1011,1011,Two cases of stiff person syndrome treated with intrathecal baclofen pump in an inpatient rehabilitation unit: A case series,Shoval H.A.; Hamer O.; Chantasi K.; Nanda U.,2014,PM and R,07_case_series_split,case_series_split_manual_review_required,medium,manual_review_required,case_series_split_registry.csv,split_status,Could not find at least two distinct explicit case/patient headings.,Review case boundaries manually or mark the paper unsuitable for case-level splitting.,true,2026-05-07T11:48:48.538867+00:00
1031|05_proceedings_trim|proceedings_manual_review_queue|proceedings_manual_review_queue.csv,1031,1031,Autonomic dysfunction in stiff person syndrome (SPS): Observations in 8 cases,Barboi A.,2014,Clinical Autonomic Research,05_proceedings_trim,proceedings_manual_review_queue,medium,queued,proceedings_manual_review_queue.csv,manual_status,No abstract block could be segmented from the proceedings text.,"Review target abstract boundaries, record the manual decision, and rerun proceedings-ready publication.",true,2026-05-07T11:48:48.490306+00:00
1031|05_proceedings_trim|trim_manual_review_required|text_trim_registry.csv,1031,1031,Autonomic dysfunction in stiff person syndrome (SPS): Observations in 8 cases,Barboi A.,2014,Clinical Autonomic Research,05_proceedings_trim,trim_manual_review_required,medium,manual_review_required,text_trim_registry.csv,trim_status,Matched entry appears truncated or lacks sufficient abstract body content.,Revisit proceedings localisation and publish a safe proceedings-ready text layer.,true,2026-05-07T11:48:48.495974+00:00
1031|05b_proceedings_qc|proceedings_qc_follow_up_required|proceedings_text_qc_registry.csv,1031,1031,Autonomic dysfunction in stiff person syndrome (SPS): Observations in 8 cases,Barboi A.,2014,Clinical Autonomic Research,05b_proceedings_qc,proceedings_qc_follow_up_required,medium,untrimmed_localised,proceedings_text_qc_registry.csv,qc_status,Target appears localised in full proceedings text; trimming/manual review is still required.,"Review proceedings QC, fix the target span if needed, and rerun proceedings-ready publication.",true,2026-04-06T13:52:57.989395+00:00
1031|06_sps_case_count|reference_heuristic_count_needs_review|source_sps_case_count_registry.csv,1031,1031,Autonomic dysfunction in stiff person syndrome (SPS): Observations in 8 cases,Barboi A.,2014,Clinical Autonomic Research,06_sps_case_count,reference_heuristic_count_needs_review,medium,reference_heuristic_manual_review_required,source_sps_case_count_registry.csv,count_manual_review_required,reference_only_publish_fallback=true | count_basis=title_count_signal | count_confidence=high | candidate_notes=preferred_text_source=trimmed; distinct_candidate_counts=[8]; count_eligibility_status=extractable,"Review the source or restore run artefacts, then replace the reference-only fallback with reviewed evidence.",true,2026-04-26T22:28:09.712708+00:00
1087|06_sps_case_count|reference_heuristic_count_needs_review|source_sps_case_count_registry.csv,1087,1087,Stiff-person syndrome and myasthenia gravis as a paraneoplastic manifestation of thymoma,Pitha J.; Ehler E.,2014,Clinical and Experimental Neuroimmunology,06_sps_case_count,reference_heuristic_count_needs_review,medium,reference_heuristic_manual_review_required,source_sps_case_count_registry.csv,count_manual_review_required,"reference_only_publish_fallback=true | count_basis=source_single_case_default | count_confidence=medium | candidate_notes=preferred_text_source=full_text; source_context_adjusted_primary_estimate; distinct_candidate_counts=[0, 1]; count_eligibility_status=extractable","Review the source or restore run artefacts, then replace the reference-only fallback with reviewed evidence.",true,2026-04-26T22:28:09.714933+00:00
1098|06_sps_case_count|reference_heuristic_count_needs_review|source_sps_case_count_registry.csv,1098,1098,Spasmodic dysphonia like presentation of stiff person syndrome,Rana A.Q.; Masroor M.S.; Ismail B.,2014,Journal of Neurosciences in Rural Practice,06_sps_case_count,reference_heuristic_count_needs_review,medium,reference_heuristic_manual_review_required,source_sps_case_count_registry.csv,count_manual_review_required,"reference_only_publish_fallback=true | count_basis=source_single_case_default | count_confidence=medium | candidate_notes=preferred_text_source=full_text; source_context_adjusted_primary_estimate; distinct_candidate_counts=[0, 1]; count_eligibility_status=extractable","Review the source or restore run artefacts, then replace the reference-only fallback with reviewed evidence.",true,2026-04-26T22:28:09.717785+00:00
1112|05_proceedings_trim|proceedings_manual_review_queue|proceedings_manual_review_queue.csv,1112,1112,Practical management of stiff person syndrome in a limited resource setting-report of experiences in a two year follow-up,Siddi Ganie N.; Nichol R.; Janse Van Rensberg E.; Smit L.; Kruger A.; Nel M.; Lecuona E.,2015,European Journal of Neurology,05_proceedings_trim,proceedings_manual_review_queue,medium,queued,proceedings_manual_review_queue.csv,manual_status,"Proceedings detected, but the best abstract block match is below the auto-trim confidence threshold.","Review target abstract boundaries, record the manual decision, and rerun proceedings-ready publication.",true,2026-05-07T11:48:48.490339+00:00
1117|05_proceedings_trim|trim_manual_review_required|text_trim_registry.csv,1117,1117,Glycine receptor antibody mediated progressive encephalomyelitis with rigidity and myoclonus (PERM) presenting as an abnormal startle response in an adolescent girl,Patel A.; Boyd S.; Amin B.; Robinson R.; Woodhall M.; Vincent A.; Hemingway C.; Munot P.,2015,European Journal of Paediatric Neurology,05_proceedings_trim,trim_manual_review_required,medium,manual_review_required,text_trim_registry.csv,trim_status,Matched entry appears truncated or lacks sufficient abstract body content.,Revisit proceedings localisation and publish a safe proceedings-ready text layer.,true,2026-05-07T11:48:48.495993+00:00
1117|05b_proceedings_qc|proceedings_qc_follow_up_required|proceedings_text_qc_registry.csv,1117,1117,Glycine receptor antibody mediated progressive encephalomyelitis with rigidity and myoclonus (PERM) presenting as an abnormal startle response in an adolescent girl,Patel A.; Boyd S.; Amin B.; Robinson R.; Woodhall M.; Vincent A.; Hemingway C.; Munot P.,2015,European Journal of Paediatric Neurology,05b_proceedings_qc,proceedings_qc_follow_up_required,medium,untrimmed_localised,proceedings_text_qc_registry.csv,qc_status,Target appears localised in full proceedings text; trimming/manual review is still required.,"Review proceedings QC, fix the target span if needed, and rerun proceedings-ready publication.",true,2026-04-06T13:53:02.345836+00:00
1117|06_sps_case_count|reference_heuristic_count_needs_review|source_sps_case_count_registry.csv,1117,1117,Glycine receptor antibody mediated progressive encephalomyelitis with rigidity and myoclonus (PERM) presenting as an abnormal startle response in an adolescent girl,Patel A.; Boyd S.; Amin B.; Robinson R.; Woodhall M.; Vincent A.; Hemingway C.; Munot P.,2015,European Journal of Paediatric Neurology,06_sps_case_count,reference_heuristic_count_needs_review,medium,reference_heuristic_manual_review_required,source_sps_case_count_registry.csv,count_manual_review_required,reference_only_publish_fallback=true | count_basis=case_report_marker_single_case | count_confidence=medium | candidate_notes=preferred_text_source=trimmed; body_only_candidate_added; single_case_default_candidate_added; distinct_candidate_counts=[1]; count_eligibility_status=extractable,"Review the source or restore run artefacts, then replace the reference-only fallback with reviewed evidence.",true,2026-04-26T22:28:09.760809+00:00
1118|05_proceedings_trim|trim_manual_review_required|text_trim_registry.csv,1118,1118,Prolonged cortical hyperexcitability during burst-suppression associated with glycine receptor antibodies,Patel A.; Janackova S.; Munot P.; Vincent A.; Boyd S.,2015,European Journal of Paediatric Neurology,05_proceedings_trim,trim_manual_review_required,medium,manual_review_required,text_trim_registry.csv,trim_status,Matched entry appears truncated or lacks sufficient abstract body content.,Revisit proceedings localisation and publish a safe proceedings-ready text layer.,true,2026-05-07T11:48:48.496007+00:00
1118|05b_proceedings_qc|proceedings_qc_follow_up_required|proceedings_text_qc_registry.csv,1118,1118,Prolonged cortical hyperexcitability during burst-suppression associated with glycine receptor antibodies,Patel A.; Janackova S.; Munot P.; Vincent A.; Boyd S.,2015,European Journal of Paediatric Neurology,05b_proceedings_qc,proceedings_qc_follow_up_required,medium,untrimmed_localised,proceedings_text_qc_registry.csv,qc_status,Target appears localised in full proceedings text; trimming/manual review is still required.,"Review proceedings QC, fix the target span if needed, and rerun proceedings-ready publication.",true,2026-04-06T13:53:02.358738+00:00
1118|06_sps_case_count|reference_heuristic_count_needs_review|source_sps_case_count_registry.csv,1118,1118,Prolonged cortical hyperexcitability during burst-suppression associated with glycine receptor antibodies,Patel A.; Janackova S.; Munot P.; Vincent A.; Boyd S.,2015,European Journal of Paediatric Neurology,06_sps_case_count,reference_heuristic_count_needs_review,medium,reference_heuristic_manual_review_required,source_sps_case_count_registry.csv,count_manual_review_required,reference_only_publish_fallback=true | count_basis=single_case_text_signal | count_confidence=medium | candidate_notes=preferred_text_source=full_text; body_only_candidate_added; single_case_default_candidate_added; distinct_candidate_counts=[1]; count_eligibility_status=extractable,"Review the source or restore run artefacts, then replace the reference-only fallback with reviewed evidence.",true,2026-04-26T22:28:09.796475+00:00
1119|05_proceedings_trim|proceedings_manual_review_queue|proceedings_manual_review_queue.csv,1119,1119,Antibody spectrum in stiff person syndrome and related disorders,Balint B.; Blocker I.M.; Unger M.; Stocker W.; Probst C.; Komorowski L.; Meinck H.M.,2015,Movement Disorders,05_proceedings_trim,proceedings_manual_review_queue,medium,queued,proceedings_manual_review_queue.csv,manual_status,"Proceedings detected, but the best abstract block match is below the auto-trim confidence threshold.","Review target abstract boundaries, record the manual decision, and rerun proceedings-ready publication.",true,2026-05-07T11:48:48.490352+00:00
1120|05_proceedings_trim|proceedings_manual_review_queue|proceedings_manual_review_queue.csv,1120,1120,Anti-GAD65 negative stiff-person syndrome with a favorable response to pregabalin: A case post-thymoma excision accompanying central sleep apnea,Zhang G.; Liu L.; Xiong N.; Huang J.; Wang T.,2015,Movement Disorders,05_proceedings_trim,proceedings_manual_review_queue,medium,queued,proceedings_manual_review_queue.csv,manual_status,"Proceedings detected, but the best abstract block match is below the auto-trim confidence threshold.","Review target abstract boundaries, record the manual decision, and rerun proceedings-ready publication.",true,2026-05-07T11:48:48.490365+00:00
1120|05_proceedings_trim|trim_manual_review_required|text_trim_registry.csv,1120,1120,Anti-GAD65 negative stiff-person syndrome with a favorable response to pregabalin: A case post-thymoma excision accompanying central sleep apnea,Zhang G.; Liu L.; Xiong N.; Huang J.; Wang T.,2015,Movement Disorders,05_proceedings_trim,trim_manual_review_required,medium,manual_review_required,text_trim_registry.csv,trim_status,Matched entry appears truncated or lacks sufficient abstract body content.,Revisit proceedings localisation and publish a safe proceedings-ready text layer.,true,2026-05-07T11:48:48.496021+00:00
1120|05b_proceedings_qc|proceedings_qc_follow_up_required|proceedings_text_qc_registry.csv,1120,1120,Anti-GAD65 negative stiff-person syndrome with a favorable response to pregabalin: A case post-thymoma excision accompanying central sleep apnea,Zhang G.; Liu L.; Xiong N.; Huang J.; Wang T.,2015,Movement Disorders,05b_proceedings_qc,proceedings_qc_follow_up_required,medium,untrimmed_localised,proceedings_text_qc_registry.csv,qc_status,Target appears localised in full proceedings text; trimming/manual review is still required.,"Review proceedings QC, fix the target span if needed, and rerun proceedings-ready publication.",true,2026-04-06T13:53:14.098475+00:00
1120|06_sps_case_count|reference_heuristic_count_needs_review|source_sps_case_count_registry.csv,1120,1120,Anti-GAD65 negative stiff-person syndrome with a favorable response to pregabalin: A case post-thymoma excision accompanying central sleep apnea,Zhang G.; Liu L.; Xiong N.; Huang J.; Wang T.,2015,Movement Disorders,06_sps_case_count,reference_heuristic_count_needs_review,medium,reference_heuristic_manual_review_required,source_sps_case_count_registry.csv,count_manual_review_required,reference_only_publish_fallback=true | count_basis=case_report_marker_single_case | count_confidence=medium | candidate_notes=preferred_text_source=trimmed; body_only_candidate_added; single_case_default_candidate_added; distinct_candidate_counts=[1]; count_eligibility_status=extractable,"Review the source or restore run artefacts, then replace the reference-only fallback with reviewed evidence.",true,2026-04-26T22:28:09.830918+00:00
1129|05_proceedings_trim|trim_manual_review_required|text_trim_registry.csv,1129,1129,"GAD autoimmunity: Syndromes, comorbidities, and coexisting antibodies in 121 patients",Arino H.; Gresa-Arribas N.; Hoftberger R.; Martinez-Hernandez E.; Armangue T.; Kruer M.C.; Arpa J.; Domingo J.; Rojc B.; Bataller L.; Saiz A.; Dalmau J.; Graus F.,2015,Annals of Neurology,05_proceedings_trim,trim_manual_review_required,high,header_only_source,text_trim_registry.csv,trim_status,Matched entry appears to contain header-only listing without abstract body.,Revisit proceedings localisation and publish a safe proceedings-ready text layer.,true,2026-05-07T11:48:48.496034+00:00
1129|05b_proceedings_qc|proceedings_qc_follow_up_required|proceedings_text_qc_registry.csv,1129,1129,"GAD autoimmunity: Syndromes, comorbidities, and coexisting antibodies in 121 patients",Arino H.; Gresa-Arribas N.; Hoftberger R.; Martinez-Hernandez E.; Armangue T.; Kruer M.C.; Arpa J.; Domingo J.; Rojc B.; Bataller L.; Saiz A.; Dalmau J.; Graus F.,2015,Annals of Neurology,05b_proceedings_qc,proceedings_qc_follow_up_required,high,header_only_source,proceedings_text_qc_registry.csv,qc_status,Matched source appears to be a title/author listing without abstract body text.,"Review proceedings QC, fix the target span if needed, and rerun proceedings-ready publication.",true,2026-04-06T13:53:15.879627+00:00
1133|07_case_series_split|case_series_split_manual_review_required|case_series_split_registry.csv,1133,1133,Favorable response of botulinum toxin to the axial muscle spasms in a patient with stiff-person syndrome autoimmune: A case report,Correa Ospina D.; Paula Andrea Millan Giraldo P.; Jose Mauricio Cardenas Prieto J.; Omar Fredy Buritica O.; Simon Uribe Vargas S.,2015,Journal of the Neurological Sciences,07_case_series_split,case_series_split_manual_review_required,medium,manual_review_required,case_series_split_registry.csv,split_status,"Case headings do not begin with the first case, so the leading case block is not safely isolated.",Review case boundaries manually or mark the paper unsuitable for case-level splitting.,true,2026-05-07T11:48:48.538901+00:00
1150|05b_proceedings_qc|proceedings_qc_follow_up_required|proceedings_text_qc_registry.csv,1150,1150,Stiff person syndrome presenting as 'stiff eyes',Vinjam M.R.; Shanmugarajan P.; Ford H.,2015,"Journal of Neurology, Neurosurgery and Psychiatry",05b_proceedings_qc,proceedings_qc_follow_up_required,medium,untrimmed_localised,proceedings_text_qc_registry.csv,qc_status,Target appears localised in full proceedings text; trimming/manual review is still required.,"Review proceedings QC, fix the target span if needed, and rerun proceedings-ready publication.",true,2026-04-06T13:53:15.913837+00:00
