publication_type,field,section,criterion_text,entry_guidance,inferred_type,accepted
Data Extraction,symptoms_established,Disease Characteristics,,"SPSD symptoms in established disease (select single option from list) - stiffness - spasms - startle = excessive startle - anxiety - oculomotor = oculomotor disturbance - cerebellar - visual = visual symptoms (e.g. photosensitivity) - cognitive - gastrointestinal = other than abdominal wall muscle cramps) - multiple = multiple, specify in next col - other = other, specify in overnext col",categorical,stiffness; spasms; anxiety; cerebellar; cognitive
Data Extraction,symptoms_established_multiple,Disease Characteristics,,"SPSD symptoms in established disease (multiple) If ""multiple"" was selected, list as text, separated by semicolons. Otherwise, leave blank.",string,"SPSD symptoms in established disease (multiple) If ""multiple"" was selected, list as text, separated by semicolons. Otherwise, leave blank."
Data Extraction,symptoms_established_other,Disease Characteristics,,"SPSD symptoms in established disease (other) If ""other"" was selected, list as text. Otherwise, leave blank.",string,"SPSD symptoms in established disease (other) If ""other"" was selected, list as text. Otherwise, leave blank."
Data Extraction,stiffness_established_distribution,Disease Characteristics,,"Stiffness distribution in established disease (select) - lumb_prox_LE = lumbar/proximal legs - distal_LE = distal leg(s) - UE = arm(s) / upper extremity - axial = axial(thoracic,neck) - trismus - multiple = multiple, but not generalised - generalised = generalised - other = other, specify in next col",categorical,trismus
Data Extraction,stiffness_established_distribution_multiple,Disease Characteristics,,"SPSD distribution in established disease (multiple) If ""multiple"" was selected, list as text, separated by semicolons. Otherwise, leave blank.",string,"SPSD distribution in established disease (multiple) If ""multiple"" was selected, list as text, separated by semicolons. Otherwise, leave blank."
Data Extraction,stiffness_established_distribution_other,Disease Characteristics,,"SPSD distribution in established disease (other) If ""other"" was selected, list as text, separated by semicolons. Otherwise, leave blank.",string,"SPSD distribution in established disease (other) If ""other"" was selected, list as text, separated by semicolons. Otherwise, leave blank."
Data Extraction,established_mRS,Disease Characteristics,,Disability when disease fully established (SPSD symptoms established; mRS) 0 - No symptoms. 1 - No significant disability. 2 - Slight disability. 3 - Moderate disability. 4 - Moderately severe disability. 5 - Severe disability. incontinent. 6 - Dead,string,Disability when disease fully established (SPSD symptoms established; mRS) 0 - No symptoms. 1 - No significant disability. 2 - Slight disability. 3 - Moderate disability. 4 - Moderately severe disability. 5 - Severe disability. incontinent. 6 - Dead
Data Extraction,spasms_distribution,Disease Characteristics,,"Spasms distribution - lumb_prox_LE = lumbar/proximal legs - distal_LE = distal leg(s) - UE = arm(s) / upper extremity - axial = axial(thoracic,neck) - multiple = multiple, but not generalised - generalised = generalised - other = other, specify in next col",string,"Spasms distribution - lumb_prox_LE = lumbar/proximal legs - distal_LE = distal leg(s) - UE = arm(s) / upper extremity - axial = axial(thoracic,neck) - multiple = multiple, but not generalised - generalised = generalised - other = other, specify in next col"
Data Extraction,spasms_distribution_multiple,Disease Characteristics,,"Spasms distribution (multiple) If ""multiple"" was selected, list as text, separated by semicolons. Otherwise, leave blank.",string,"Spasms distribution (multiple) If ""multiple"" was selected, list as text, separated by semicolons. Otherwise, leave blank."
Data Extraction,spasms_distribution_other,Disease Characteristics,,"Spasms distribution (other) If ""other"" was selected, list as text. Otherwise, leave blank.",string,"Spasms distribution (other) If ""other"" was selected, list as text. Otherwise, leave blank."
Data Extraction,duration_FU,Disease Characteristics,,Duration of follow up (months),string,Duration of follow up (months)
Data Extraction,treatment,Disease Characteristics,,"Course / symptoms potentially influenced by treatment ? (select) - none = no treatment - BZD = benzodiazepine or similar - immunotherapy - both = both symptomatic and immunotherapy - NA = not available, not reported",categorical,immunotherapy
Data Extraction,antibody_status,Disease Characteristics,,"Antibody status (select) - GAD - GlyR - amphiphysin - DPPX - seronegative - multiple = multiple, specify in next col - other = other, specify in next col - not_tested = no test performed - NA = not available, not reported, unclear if tested",categorical,GAD; GlyR; amphiphysin; DPPX; seronegative
Data Extraction,antibody_status_multiple,Disease Characteristics,,"Antibody status (multiple) If ""multiple"" was selected, list as text, separated by semicolons. Otherwise, leave blank.",string,"Antibody status (multiple) If ""multiple"" was selected, list as text, separated by semicolons. Otherwise, leave blank."
Data Extraction,antibody_status_other,Disease Characteristics,,"Antibody status (other) If ""other"" was selected, list as text. Otherwise, leave blank.",string,"Antibody status (other) If ""other"" was selected, list as text. Otherwise, leave blank."
Data Extraction,antibody_titre,Disease Characteristics,,Antibody titre,string,Antibody titre
Data Extraction,antibody_units,Disease Characteristics,,Antibody units,string,Antibody units
Data Extraction,antibody_testsystem,Disease Characteristics,,Antibody test system,string,Antibody test system
Data Extraction,antibody_tests,Disease Characteristics,,"Antibodies tested list all antibodies that were tested, separated by semicolons",string,"Antibodies tested list all antibodies that were tested, separated by semicolons"
Data Extraction,antibody_notes,Disease Characteristics,,"Antibody notes If not covered by columns to the left, give as text note. Otherwise, leave blank.",string,"Antibody notes If not covered by columns to the left, give as text note. Otherwise, leave blank."
Data Extraction,CSF_status,Disease Characteristics,,CSF (select) - normal - inflammatory - isolated protein elevation - not_done = no CSF analysis performed - antibody_present = antibody present in CSF (specify Ab and titre in next cols) - NA = not available / NR,categorical,normal; inflammatory; isolated protein elevation
Data Extraction,CSF_antibody,Disease Characteristics,,CSF antibody (specify),string,CSF antibody (specify)
Data Extraction,CSF_antibody_titre,Disease Characteristics,,CSF antibody titre (numeric),number,numeric
Data Extraction,CMUA,Disease Characteristics,,"continuous motor unit activity (CMUA) 0 = not detected 1 = present NA = no EMG, NR, unknown",binary_ordinal,"0 (not detected); 1 (present); NA (no EMG, NR, unknown)"
Data Extraction,exteroceptive_refl,Disease Characteristics,,"enhanced exteroceptive reflexes 0 = not detected 1 = present NA = not done, NR, unknown",binary_ordinal,"0 (not detected); 1 (present); NA (not done, NR, unknown)"
Data Extraction,brainstem_refl,Investigations and Tests,,"brainstem reflexes 0 = not detected 1 = present NA = not done, NR, unknown",binary_ordinal,"0 (not detected); 1 (present); NA (not done, NR, unknown)"
Data Extraction,MRI_normal,Investigations and Tests,,"MRI 0 = normal 1 = abnormal (specify in next col) NA = no MRI performed, not reported, unclear",binary_ordinal,"0 (normal); 1 (abnormal (specify in next col)); NA (no MRI performed, not reported, unclear)"
Data Extraction,MRI_abnormalities,Investigations and Tests,,MRI abnormalities (text),string,MRI abnormalities (text)
Data Extraction,tu_screening,Investigations and Tests,,"Tumour screening 0 = normal / no tumour detected 1 = abnormal (specify in next col) NA = not performed, NR",binary_ordinal,"0 (normal / no tumour detected); 1 (abnormal (specify in next col)); NA (not performed, NR)"
Data Extraction,tu_screening_abnormal,Investigations and Tests,,Tumour screening abnormal specify tumour entity with text,string,Tumour screening abnormal specify tumour entity with text
Data Extraction,family_history,Investigations and Tests,,"Family history (select) - none = no fhx for SPSD or autoimmunity - autoimmune = fhx for autoimmunity (specify in next col) - SPSD = fhx for SPSD (specify in next col) - NA = unknown, not reported",string,"Family history (select) - none = no fhx for SPSD or autoimmunity - autoimmune = fhx for autoimmunity (specify in next col) - SPSD = fhx for SPSD (specify in next col) - NA = unknown, not reported"
Data Extraction,family_history_abnormal,Investigations and Tests,,"Family history (text) if autoimmune diseases and/or SPSD are present, specify with text",string,"Family history (text) if autoimmune diseases and/or SPSD are present, specify with text"
Data Extraction,autoimmunity,Investigations and Tests,,"Concomitant autoimmunity (select) - none - thyroid = thyroid disease/thyroid antibodies - diabetes - vitiligo - gastric = pernicious anaemia/parietal cell antibodies - other= other, specify in next col",categorical,none; diabetes; vitiligo
Data Extraction,autoimmunity_specify,Investigations and Tests,,Concomitant autoimmunity (specify with text),string,Concomitant autoimmunity (specify with text)
Data Extraction,immunotherapy,Investigations and Tests,,"Immunotherapy (specify) - none = not done - steroids - IVIG - PLEX - RXB = Rituximab - CP = Cyclophopsphamide - Aza = Azathioprine - multiple = specify in next col - other = specify in next col - NA = unknown, NR",categorical,steroids; IVIG; PLEX
Data Extraction,immunotherapy_multiple,Investigations and Tests,,"If more than one type of treatment, report here from previous column",string,"If more than one type of treatment, report here from previous column"
Data Extraction,immunotherapy_other,Investigations and Tests,,"If other treatment, report here from previous column",string,"If other treatment, report here from previous column"
Data Extraction,immunotherapy_detail,Investigations and Tests,,Immunotherapy in detail (text) report the immunotherapy protocol in detail,string,Immunotherapy in detail (text) report the immunotherapy protocol in detail
Data Extraction,immunotherapy_effect,Investigations and Tests,,Effect of immunotherapy (select) - none - worsening - improvement - stabilisation - NA = not known,categorical,none; worsening; improvement; stabilisation
Data Extraction,sympt_treatment,Investigations and Tests,,Symptomatic treatment (select) - none - clonazepam - benzo = other benzodiazepines - baclofen - gabapentin - pregabalin - tizanidine - valproate - other (specify),categorical,none; clonazepam; baclofen; gabapentin; pregabalin; tizanidine; valproate; other (specify)
Data Extraction,sympt_treatment_multiple,Investigations and Tests,,"If more than one type of symptomatic treatment, report here from previous column, separate with semicolons",string,"If more than one type of symptomatic treatment, report here from previous column, separate with semicolons"
Data Extraction,sympt_treatment_other,Investigations and Tests,,"If other symptomatic treatment, report here from previous column",string,"If other symptomatic treatment, report here from previous column"
Data Extraction,sympt_treatment_detail,Investigations and Tests,,Symptomatic treatment in detail (text) please describe way of administration and dose,string,Symptomatic treatment in detail (text) please describe way of administration and dose
Data Extraction,sympt_treatment_effect,Investigations and Tests,,"Effect of symptomatic treatment (select) - none - improvement - NA = not known, NR",categorical,none; improvement
Data Extraction,other_treatment,Investigations and Tests,,Other treatment (text) (e.g. tumour therapy),string,Other treatment (text) (e.g. tumour therapy)
Data Extraction,different_treatment,Investigations and Tests,,"If treatment description does not fit the previous columns, specify the treatment as text and use the next columns to provide details.",string,"If treatment description does not fit the previous columns, specify the treatment as text and use the next columns to provide details."
Data Extraction,different_treatment_duration,Investigations and Tests,,Different treatment: duration (days),string,Different treatment: duration (days)
Data Extraction,different_treatment_response,Investigations and Tests,,Different treatment: response (text),string,Different treatment: response (text)
Data Extraction,different_treatment_extra,Investigations and Tests,,"Results of treatment, if more than one type of response and differential responses to types of treatments",string,"Results of treatment, if more than one type of response and differential responses to types of treatments"
Data Extraction,adverse_events,Investigations and Tests,,Adverse events (text) Copy paste the definition(s) of adverse events if one is provided by the authors.,string,Adverse events (text) Copy paste the definition(s) of adverse events if one is provided by the authors.
Data Extraction,sampling,Sampling and Analysis,,"Sampling (text) Copy from methods how recruitment was performed, such as single site or multicentric, consecutive patients, clinic, community, and other details.",string,"Sampling (text) Copy from methods how recruitment was performed, such as single site or multicentric, consecutive patients, clinic, community, and other details."
Data Extraction,sample_size_calc,Sampling and Analysis,,"Sample size calculation, study power (text) Does the study provide a sample size calculation, power, and other additional information about sampling and analysis? Copy and pasted if available.",string,"Sample size calculation, study power (text) Does the study provide a sample size calculation, power, and other additional information about sampling and analysis? Copy and pasted if available."
Data Extraction,stat_methods,Sampling and Analysis,,Analysis (text) Statistical tests used to find the results - Copy and pasted if available.,string,Analysis (text) Statistical tests used to find the results - Copy and pasted if available.
Data Extraction,additional_relevant,Additional Relevant Information,,Use this column to add any finding or comments that can be relevant,string,Use this column to add any finding or comments that can be relevant
Data Extraction,limitations,Additional Relevant Information,,Use this column to make comments related to study limitations,string,Use this column to make comments related to study limitations
Data Extraction,weaknesses,Notes,,Use this column to make comments related to study weaknesses,string,Use this column to make comments related to study weaknesses
Data Extraction,strengths,Notes,,Use this column to make comments related to study strenghts.,string,Use this column to make comments related to study strenghts.
Data Extraction,initial_diagnosis,Notes,,Initial diagnosis (text) state which diagnosis was suspected at symptom onset (SPSD or specific other diagnosis),string,Initial diagnosis (text) state which diagnosis was suspected at symptom onset (SPSD or specific other diagnosis)
Data Extraction,differential_diagnosis,Notes,,Differential diagnosis (text) Which DDx were considered?,string,Differential diagnosis (text) Which DDx were considered?
Case Report Form,extractor,"Use this tab for case reports, case series, or studies that report individual patients characteristics instead of grouped data.",,Initials of extractor,string,
Case Report Form,Reference,1.section: Identifier and case vignette,,ID,integer_or_string_id,
Case Report Form,case_ID,1.section: Identifier and case vignette,,Case reference within the article (case#),integer_or_string_id,
Case Report Form,age_description,1.section: Identifier and case vignette,,Age at description,string,Age at description
Case Report Form,sex,1.section: Identifier and case vignette,,Sex: M or F,string,Sex: M or F
Case Report Form,ethnicity,section: basic demographic data,,"Ethnicity (select one) - white = White/Caucasian - africa = African/ Afro-Caribbean - E_asia = East Asia (Japan, Korea, China) - S_asia = South Asia (India, Pakistan, Bangladesh, Sri Lanka) - SE_asia = South East Asian (everything East of India and South of China which will cover Thailand, Malaysia, Singapore) - latin = Latin American (non-African origin; central and S America, without Caribbean) - other = other (specify in next column)",string,"Ethnicity (select one) - white = White/Caucasian - africa = African/ Afro-Caribbean - E_asia = East Asia (Japan, Korea, China) - S_asia = South Asia (India, Pakistan, Bangladesh, Sri Lanka) - SE_asia = South East Asian (everything East of India and South of China which will cover Thailand, Malaysia, Singapore) - latin = Latin American (non-African origin; central and S America, without Caribbean) - other = other (specify in next column)"
Case Report Form,age_onset,section: basic demographic data,,Age at onset,string,Age at onset
Case Report Form,FU_duration,section: basic demographic data,,Follow Up (years),string,Follow Up (years)
Case Report Form,time_to_diagnosis,section: basic demographic data,,Time to diagnosis (years),string,Time to diagnosis (years)
Case Report Form,first_manifestation,section: basic demographic data,,"First manifestation (select) - stiffness - spasms - startle = excessive startle - multiple = multiple, specify in next cols - other = other, specify in next cols",categorical,stiffness; spasms
Case Report Form,first_manifestation_multiple,section: basic demographic data,,First manifestation (multiple),string,First manifestation (multiple)
Case Report Form,first_manifestation_mother,section: basic demographic data,,First manifestation (other),string,First manifestation (other)
Case Report Form,included_diagnosis,section: basic demographic data,,"Diagnosis of participants included (select) - Stiff_Person - Stiff_Limb - PERM - new_category = new category if identified, specify - mixed = mixed population - other = other, specify in next column - NA = not available, NR, not reported",categorical,Stiff_Person; Stiff_Limb; PERM
Case Report Form,included_diagnosis_specify,section: basic demographic data,,"Diagnosis (specify) If you selected new_category or other, specify with text",string,"Diagnosis (specify) If you selected new_category or other, specify with text"
Case Report Form,diagnostic_criteria,section: basic demographic data,,Diagnostic Criteria Used : Provide below the details of the criteria used to make the diagnosis - copy and paste from text if needed,string,Diagnostic Criteria Used : Provide below the details of the criteria used to make the diagnosis - copy and paste from text if needed
Case Report Form,early_symptoms,section: basic demographic data,,Overview_SPSD symptoms / early disease (select) - stiffness - spasms - startle = excessive startle,categorical,stiffness; spasms
Case Report Form,stiffness_distribution_onset,section: basic demographic data,,"Stiffness distribution (select) - lumb_prox_LE = lumbar/proximal legs - distal_LE = distal leg(s) - UE = arm(s) / upper extremity - axial = axial(thoracic,neck) - trismus - multiple = multiple, but not generalised (specify in next col) - generalised = generalised - other = other, specify in next col",categorical,trismus
Case Report Form,stiffness_distribution_onset_multiple,section: basic demographic data,,Stiffness distribution: multiple (text),string,Stiffness distribution: multiple (text)
Case Report Form,stiffness_distribution_onset_other,section: basic demographic data,,Stiffness distribution: other (text),string,Stiffness distribution: other (text)
Case Report Form,spasms_distribution_onset,section: basic demographic data,,"Spasms distribution (select) - lumb_prox_LE = lumbar/proximal legs - distal_LE = distal leg(s) - UE = arm(s) / upper extremity - axial = axial(thoracic,neck) - generalised - multiple = multiple, but not generalised (specify in next col) - other = other, specify in next col",categorical,generalised
Case Report Form,spasms_distribution_onset_multiple,"3. section: disease onset, signs and symptoms",,Spasms distribution: multiple (text),string,Spasms distribution: multiple (text)
Case Report Form,spasms_distribution_onset_other,"3. section: disease onset, signs and symptoms",,Spasms distribution: other (text),string,Spasms distribution: other (text)
Case Report Form,excessive_startle_onset,"3. section: disease onset, signs and symptoms",,Excessive startle (select) - touch = to touch - noise = to noise - visual = to visual stimuli - multiple (specify in next col) - other (specify in next col),categorical,multiple (specify in next col); other (specify in next col)
Case Report Form,excessive_startle_onset_multiple,"3. section: disease onset, signs and symptoms",,Excessive startle: multiple (text),string,Excessive startle: multiple (text)
Case Report Form,excessive_startle_onset_other,"3. section: disease onset, signs and symptoms",,Excessive startle: other (text),string,Excessive startle: other (text)
Case Report Form,anxiety_onset,"3. section: disease onset, signs and symptoms",,Anxiety (select) - walking = anxiety related to walking unaided - generalised = specify in next col,string,Anxiety (select) - walking = anxiety related to walking unaided - generalised = specify in next col
Case Report Form,anxiety_onset_generalised,"3. section: disease onset, signs and symptoms",,Anxiety: generalised (text),string,Anxiety: generalised (text)
Case Report Form,other_symptoms_onset,"3. section: disease onset, signs and symptoms",,"Other symptoms: list all that apply within 1 cell, separated by semicolons (example: hyperhidrosis; babinski; sensory) - hyperhidrosis - autonomic = other autonomic symptoms (see legend and specify in next col) - hyperreflexia - babinski - weakness - lower_motor_neuron - encephalopathy - seizures = specify type - oculomotor = specify type - ptosis - dysphagia - dysgeusia - sensory = hyp/paraesthesia - allodynia - freezing = freezing episodes - LPR = lead pipe rigidity - other = specify in next col",categorical,hyperhidrosis; hyperreflexia; babinski; weakness; lower_motor_neuron; encephalopathy; ptosis; dysphagia; dysgeusia; allodynia
Case Report Form,other_symptoms_onset_auto,"3. section: disease onset, signs and symptoms",,Other symptoms: autonomic (text),string,Other symptoms: autonomic (text)
Case Report Form,other_symptoms_onset_oculo,"3. section: disease onset, signs and symptoms",,Other symptoms: oculomotor (text),string,Other symptoms: oculomotor (text)
Case Report Form,other_symptoms_onset_seizures,"3. section: disease onset, signs and symptoms",,Other symptoms: seizures (text),string,Other symptoms: seizures (text)
Case Report Form,onset_mRS,"3. section: disease onset, signs and symptoms",,"Disability at onset - SPSD symptoms established; mRS 0 - No symptoms. 1 - No significant disability. Able to carry out all usual activities, despite some symptoms. 2 - Slight disability. Able to look after own affairs without assistance, but unable to carry out all previous activities. 3 - Moderate disability. Requires some help, but able to walk unassisted (i.e., without another person). 4 - Moderately severe disability. Unable to attend to own bodily needs without assistance, and unable to walk unassisted. 5 - Severe disability. Requires constant nursing care and attention, bedridden, incontinent. 6 - Dead",string,"Disability at onset - SPSD symptoms established; mRS 0 - No symptoms. 1 - No significant disability. Able to carry out all usual activities, despite some symptoms. 2 - Slight disability. Able to look after own affairs without assistance, but unable to carry out all previous activities. 3 - Moderate disability. Requires some help, but able to walk unassisted (i.e., without another person). 4 - Moderately severe disability. Unable to attend to own bodily needs without assistance, and unable to walk unassisted. 5 - Severe disability. Requires constant nursing care and attention, bedridden, incontinent. 6 - Dead"
Case Report Form,timecourse_onset,"3. section: disease onset, signs and symptoms",,Time course of onset (select) - insidious = insidious/subacute - RR = relapsing-remitting - fulminant = fulimant/peracute,string,Time course of onset (select) - insidious = insidious/subacute - RR = relapsing-remitting - fulminant = fulimant/peracute
Case Report Form,diagnosis_onset,"3. section: disease onset, signs and symptoms",,Diagnosis at onset (select) - SPSD - functional - orthopaedic - stroke - seizure - other = specify in next col,categorical,SPSD; functional; orthopaedic; stroke; seizure
Case Report Form,diagnosis_onset_other,"3. section: disease onset, signs and symptoms",,Diagnosis at onset - other (text),string,Diagnosis at onset - other (text)
Case Report Form,timecourse_subsequent,"3. section: disease onset, signs and symptoms",,Subsequent disease course (select) - monophasic - RR = relapsing-remitting - chronic_stable - chronic-progressive - rapidly-progressive,categorical,monophasic; chronic_stable; chronic-progressive; rapidly-progressive
Case Report Form,onset_to_established,"3. section: disease onset, signs and symptoms",,Time from onset to fully established disease (months),string,Time from onset to fully established disease (months)
Case Report Form,FU_duration,"3. section: disease onset, signs and symptoms",,Duration of follow up (months),string,Duration of follow up (months)
Case Report Form,overview_established,"3. section: disease onset, signs and symptoms",,Overview_SPSD symptoms / established disease - stiffness - spasms - startle = excessive startle,categorical,stiffness; spasms
Case Report Form,stiffness_distribution_established,"3. section: disease onset, signs and symptoms",,"Stiffness distribution in established disease (select) - lumb_prox_LE = lumbar/proximal legs - distal_LE = distal leg(s) - UE = arm(s) / upper extremity - axial = axial(thoracic,neck) - trismus - multiple = multiple, but not generalised - generalised = generalised - other = other, specify in next col",categorical,trismus
Case Report Form,stiffness_distribution_established_multiple,"3. section: disease onset, signs and symptoms",,Stiffness distribution in established disease: multiple (text). Numbers: Dalakas distribution score,string,Stiffness distribution in established disease: multiple (text). Numbers: Dalakas distribution score
Case Report Form,stiffness_distribution_established_other,"3. section: disease onset, signs and symptoms",,Stiffness distribution in established disease: other (text),string,Stiffness distribution in established disease: other (text)
Case Report Form,spasms_distribution_established,"3. section: disease onset, signs and symptoms",,"Spasms distribution (select) - lumb_prox_LE = lumbar/proximal legs - distal_LE = distal leg(s) - UE = arm(s) / upper extremity - axial = axial(thoracic,neck) - generalised - multiple = multiple, but not generalised (specify in next col) - other = other, specify in next col",categorical,generalised
Case Report Form,spasms_distribution_established_multiple,"4. section: established disease, signs and symptoms",,Spasms distribution: multiple (text),string,Spasms distribution: multiple (text)
Case Report Form,spasms_distribution_established_other,"4. section: established disease, signs and symptoms",,Spasms distribution: other (text),string,Spasms distribution: other (text)
Case Report Form,excessive_startle_established,"4. section: established disease, signs and symptoms",,Excessive startle (select) - touch = to touch - noise = to noise - visual = to visual stimuli - multiple (specify in next col),categorical,multiple (specify in next col)
Case Report Form,excessive_startle_established_multipleother,"4. section: established disease, signs and symptoms",,Excessive startle: multiple or other (text). Numbers: heightened sensitivity (Dalakas),string,Excessive startle: multiple or other (text). Numbers: heightened sensitivity (Dalakas)
Case Report Form,anxiety_established,"4. section: established disease, signs and symptoms",,Anxiety (select) - walking = anxiety related to walking unaided - generalised = specify in next col,string,Anxiety (select) - walking = anxiety related to walking unaided - generalised = specify in next col
Case Report Form,anxiety_established_generalised,"4. section: established disease, signs and symptoms",,Anxiety: generalised (text),string,Anxiety: generalised (text)
Case Report Form,other_symptoms_established,"4. section: established disease, signs and symptoms",,"Other symptoms: list all that apply within 1 cell, separated by semicolons (example: hyperhidrosis; babinski; sensory) - hyperhidrosis - autonomic = other autonomic symptoms (see legend and specify in next cols) - hyperreflexia - babinski - weakness - lower_motor_neuron - encephalopathy - seizures = specify type in next cols - oculomotor = specify type in next cols - ptosis - dysphagia - dysgeusia - sensory = hyp/paraesthesia - allodynia - freezing = freezing episodes - other = specify in next cols",categorical,hyperhidrosis; hyperreflexia; babinski; weakness; lower_motor_neuron; encephalopathy; ptosis; dysphagia; dysgeusia; allodynia
Case Report Form,other_symptoms_established_auto,"4. section: established disease, signs and symptoms",,Other symptoms: autonomic (text),string,Other symptoms: autonomic (text)
Case Report Form,other_symptoms_established_oculo,"4. section: established disease, signs and symptoms",,Other symptoms: oculomotor (text),string,Other symptoms: oculomotor (text)
Case Report Form,other_symptoms_established_seizures,"4. section: established disease, signs and symptoms",,Other symptoms: seizures (text),string,Other symptoms: seizures (text)
Case Report Form,established_mRS,"4. section: established disease, signs and symptoms",,"Disability when disease fully established (SPSD symptoms established; mRS 0 - No symptoms. 1 - No significant disability. Able to carry out all usual activities, despite some symptoms. 2 - Slight disability. Able to look after own affairs without assistance, but unable to carry out all previous activities. 3 - Moderate disability. Requires some help, but able to walk unassisted (i.e., without another person). 4 - Moderately severe disability. Unable to attend to own bodily needs without assistance, and unable to walk unassisted. 5 - Severe disability. Requires constant nursing care and attention, bedridden, incontinent. 6 - Dead",string,"Disability when disease fully established (SPSD symptoms established; mRS 0 - No symptoms. 1 - No significant disability. Able to carry out all usual activities, despite some symptoms. 2 - Slight disability. Able to look after own affairs without assistance, but unable to carry out all previous activities. 3 - Moderate disability. Requires some help, but able to walk unassisted (i.e., without another person). 4 - Moderately severe disability. Unable to attend to own bodily needs without assistance, and unable to walk unassisted. 5 - Severe disability. Requires constant nursing care and attention, bedridden, incontinent. 6 - Dead"
Case Report Form,course_treatment,"4. section: established disease, signs and symptoms",,Course / symptoms potentially influenced by treatment (select) - none = no treatment - sympt = benzodiazepine or similar - immunotherapy - both = both symptomatic and immunotherapy,categorical,immunotherapy
Case Report Form,antibody_status,"4. section: established disease, signs and symptoms",,"Antibody status (select) - GAD - GlyR - amphiphysin - DPPX - seronegative - multiple = multiple, specify in next col - other = other, specify in next col - not_tested = no test performed - NA = not available, not reported, unclear if tested",categorical,GAD; GlyR; amphiphysin; DPPX; seronegative
Case Report Form,antibody_status_other,"4. section: established disease, signs and symptoms",,"Antibody status (other) If ""other"" was selected, list as text. Otherwise, leave blank.",string,"Antibody status (other) If ""other"" was selected, list as text. Otherwise, leave blank."
Case Report Form,antibody_titre,"4. section: established disease, signs and symptoms",,Antibody titre,string,Antibody titre
Case Report Form,antibody_units,"4. section: established disease, signs and symptoms",,Antibody units,string,Antibody units
Case Report Form,antibody_tests,"4. section: established disease, signs and symptoms",,"Antibodies tested list all antibodies that were tested, separated by semicolons",string,"Antibodies tested list all antibodies that were tested, separated by semicolons"
Case Report Form,antibody_testsystem,"4. section: established disease, signs and symptoms",,Antibody test system,string,Antibody test system
Case Report Form,antibody_notes,"4. section: established disease, signs and symptoms",,"Antibody notes If not covered by columns to the left, give as text note. Otherwise, leave blank.",string,"Antibody notes If not covered by columns to the left, give as text note. Otherwise, leave blank."
Case Report Form,CSF_status,"4. section: established disease, signs and symptoms",,CSF (select) - normal - inflammatory - isolated protein elevation - not_done = no CSF analysis performed - antibody_present = antibody present in CSF (specify Ab and titre in next cols) - NA = not available / NR,categorical,normal; inflammatory; isolated protein elevation
Case Report Form,CSF_antibody,"5. section: investigations (antibodies, electrophysiology, other)",,CSF antibody (specify),string,CSF antibody (specify)
Case Report Form,CSF_antibody_titre,"5. section: investigations (antibodies, electrophysiology, other)",,CSF antibody titre (numeric),number,numeric
Case Report Form,CMUA,"5. section: investigations (antibodies, electrophysiology, other)",,"continuous motor unit activity (CMUA) 0 = not detected 1 = present NA = no EMG, NR, unknown",binary_ordinal,"0 (not detected); 1 (present); NA (no EMG, NR, unknown)"
Case Report Form,exteroceptive_refl,"5. section: investigations (antibodies, electrophysiology, other)",,"enhanced exteroceptive reflexes 0 = not detected 1 = present NA = not done, NR, unknown",binary_ordinal,"0 (not detected); 1 (present); NA (not done, NR, unknown)"
Case Report Form,brainstem_refl,"5. section: investigations (antibodies, electrophysiology, other)",,"brainstem reflexes 0 = not detected 1 = present NA = not done, NR, unknown",binary_ordinal,"0 (not detected); 1 (present); NA (not done, NR, unknown)"
Case Report Form,MRI_normal,"5. section: investigations (antibodies, electrophysiology, other)",,"MRI 0 = normal 1 = abnormal (specify in next col) NA = no MRI performed, not reported, unclear",binary_ordinal,"0 (normal); 1 (abnormal (specify in next col)); NA (no MRI performed, not reported, unclear)"
Case Report Form,MRI_abnormalities,"5. section: investigations (antibodies, electrophysiology, other)",,MRI abnormalities (text),string,MRI abnormalities (text)
Case Report Form,tu_screening,"5. section: investigations (antibodies, electrophysiology, other)",,"Tumour screening 0 = normal / no tumour detected 1 = abnormal (specify in next col) NA = not performed, NR",binary_ordinal,"0 (normal / no tumour detected); 1 (abnormal (specify in next col)); NA (not performed, NR)"
Case Report Form,tu_screening_abnormal,"5. section: investigations (antibodies, electrophysiology, other)",,Tumour screening abnormal specify tumour entity with text,string,Tumour screening abnormal specify tumour entity with text
Case Report Form,immunotherapy,"5. section: investigations (antibodies, electrophysiology, other)",,"Immunotherapy (specify) - none = not done - steroids - IVIG - PLEX - RXB = Rituximab - CP = Cyclophopsphamide - Aza = Azathioprine - HSCT - multiple = specify in next col - other = specify in next col - NA = unknown, NR",categorical,steroids; IVIG; PLEX; HSCT
Case Report Form,immuntherapy_detail,6. section: treatment,,"Immunotherapy in detail (please describe dose, how many cycles, intervals)",string,"Immunotherapy in detail (please describe dose, how many cycles, intervals)"
Case Report Form,immunotherapy_effect,6. section: treatment,,Effect of immunotherapy (select) - none - worsening - improvement - stabilisation - NA = not known,categorical,none; worsening; improvement; stabilisation
Case Report Form,sympt_treatment,6. section: treatment,,Symptomatic treatment (select) - none - clonazepam - benzo = other benzodiazepines - baclofen - gabapentin - pregabalin - tizanidine - valproate - other (specify),categorical,none; clonazepam; baclofen; gabapentin; pregabalin; tizanidine; valproate; other (specify)
